model	secs_taken	Score_False	Score_True	num_runs	success_rate	failure_rate	mean_score	variance	trace_id
gpt-4o	9.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1-mini	9.5	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1	10.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-5.1	11.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
o4-mini	56.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-5	93.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1-nano	6.3	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1	10.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4o	10.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1-mini	10.4	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-5.1	12.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
o4-mini	52.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-5	71.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1-nano	5.3	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4o	7.3	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4.1-mini	7.9	4	1	5	0.2	0.8	0.2	0.16000000000000003	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-5.1	12.4	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4.1	12.6	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
o4-mini	40.7	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-5	68.8	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4.1-nano	6.4	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4o	8.7	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4.1	8.9	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-5.1	11.3	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4.1-mini	12.3	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
o4-mini	44.2	3	2	5	0.4	0.6	0.4	0.24	multi_position_hiring_MS-001_20260224_230725
gpt-5	117.1	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4.1-nano	6.8	3	2	5	0.4	0.6	0.4	0.24	pipeline_with_communication_E2E-002_20260224_233216
gpt-4.1	7.5	1	4	5	0.8	0.2	0.8	0.16000000000000003	pipeline_with_communication_E2E-002_20260224_233216
gpt-4o	8.3	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-4.1-mini	8.7	0	5	5	1.0	0.0	1.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-5.1	12.4	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
o4-mini	41.7	1	4	5	0.8	0.2	0.8	0.16000000000000003	pipeline_with_communication_E2E-002_20260224_233216
gpt-5	86.5	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-4.1-nano	6.8	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4.1-mini	8.7	4	1	5	0.2	0.8	0.2	0.16000000000000003	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4.1	9.7	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4o	9.8	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-5.1	12.0	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
o4-mini	45.7	3	2	5	0.4	0.6	0.4	0.24	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-5	109.2	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4.1-nano	7.0	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4.1-mini	8.7	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4.1	8.8	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4o	8.9	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-5.1	11.3	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
o4-mini	49.3	4	1	5	0.2	0.8	0.2	0.16000000000000003	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-5	82.5	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4.1-nano	5.5	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4o	7.2	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4.1	7.5	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-5.1	8.2	5	0	5	0.0	1.0	0.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4.1-mini	8.2	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
o4-mini	20.8	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-5	68.7	0	4	4	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4.1-nano	6.0	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4o	6.6	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4.1-mini	7.3	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4.1	9.1	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-5.1	10.0	1	4	5	0.8	0.2	0.8	0.16000000000000003	compliance_gated_pipeline_COMP-003_20260225_121557
o4-mini	30.7	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-5	72.1	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4.1-nano	5.6	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4o	7.2	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4.1	7.8	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4.1-mini	7.8	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-5.1	10.2	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
o4-mini	45.5	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-5	131.3	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4.1-nano	6.9	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-4.1-mini	9.6	2	3	5	0.6	0.4	0.6	0.24	multi_position_hiring_MS-002_20260224_231030
gpt-4.1	9.7	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-5.1	15.6	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
o4-mini	66.1	2	3	5	0.6	0.4	0.6	0.24	multi_position_hiring_MS-002_20260224_231030
gpt-4o	68.4	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-5	136.6	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-4.1-nano	6.7	1	4	5	0.8	0.2	0.8	0.16000000000000003	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4o	8.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4.1-mini	8.1	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4.1	11.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-5.1	11.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
o4-mini	41.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-5	83.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4.1-nano	4.8	0	5	5	1.0	0.0	1.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4.1-mini	6.7	3	2	5	0.4	0.6	0.4	0.24	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4.1	6.8	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4o	7.0	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-5.1	13.5	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
o4-mini	23.7	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-5	51.9	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4.1-nano	5.6	0	5	5	1.0	0.0	1.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4o	8.3	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4.1-mini	8.6	0	5	5	1.0	0.0	1.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4.1	13.8	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-5.1	14.1	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
o4-mini	38.0	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-5	89.6	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4.1-nano	5.9	0	5	5	1.0	0.0	1.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4.1	6.7	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4.1-mini	6.9	3	2	5	0.4	0.6	0.4	0.24	function_based_round_robin_EVAL-001_20260216_203404
gpt-4o	7.5	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-5.1	12.9	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
o4-mini	36.2	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-5	104.9	4	0	4	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4.1-nano	4.9	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4o	6.2	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4.1-mini	7.0	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4.1	7.2	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-5.1	9.1	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
o4-mini	23.3	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-5	76.0	5	0	5	0.0	1.0	0.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4.1-nano	5.6	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4o	7.2	5	0	5	0.0	1.0	0.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1	7.3	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1-mini	8.8	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-5.1	9.7	1	4	5	0.8	0.2	0.8	0.16000000000000003	sourcing_with_all_channels_SRC-003_20260216_214819
o4-mini	40.3	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-5	91.5	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1-nano	5.0	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4.1	7.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4o	7.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4.1-mini	8.0	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-5.1	11.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
o4-mini	47.2	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-5	72.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4.1-nano	6.4	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4.1-mini	7.5	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4.1	7.7	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4o	8.4	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-5.1	10.0	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
o4-mini	36.1	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-5	98.8	5	0	5	0.0	1.0	0.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4.1-nano	6.8	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4.1	7.3	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4.1-mini	8.5	3	2	5	0.4	0.6	0.4	0.24	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4o	9.0	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-5.1	11.8	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
o4-mini	43.3	4	1	5	0.2	0.8	0.2	0.16000000000000003	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-5	67.6	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4.1-nano	5.7	1	4	5	0.8	0.2	0.8	0.16000000000000003	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4o	7.2	5	0	5	0.0	1.0	0.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4.1	8.1	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4.1-mini	8.5	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-5.1	11.4	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
o4-mini	38.9	1	4	5	0.8	0.2	0.8	0.16000000000000003	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-5	58.9	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4.1-nano	4.9	1	4	5	0.8	0.2	0.8	0.16000000000000003	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4o	7.0	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4.1-mini	7.9	0	5	5	1.0	0.0	1.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4.1	8.1	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-5.1	10.0	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
o4-mini	41.2	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-5	95.6	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4.1-nano	6.0	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4.1-mini	9.0	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4.1	12.7	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-5.1	13.2	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
o4-mini	41.3	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4o	67.7	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-5	73.7	4	0	4	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4.1-nano	8.5	0	5	5	1.0	0.0	1.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4.1-mini	13.1	3	2	5	0.4	0.6	0.4	0.24	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-5.1	14.1	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-5	59.5	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4.1	68.1	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
o4-mini	94.9	2	3	5	0.6	0.4	0.6	0.24	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4o	128.6	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4.1-nano	5.5	0	5	5	1.0	0.0	1.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-4o	5.6	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-4.1	6.9	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-4.1-mini	7.5	0	5	5	1.0	0.0	1.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-5.1	13.5	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
o4-mini	33.3	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-5	71.8	2	0	2	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-4.1-nano	5.3	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4o	6.8	1	4	5	0.8	0.2	0.8	0.16000000000000003	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4.1	7.3	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4.1-mini	7.4	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-5.1	9.3	5	0	5	0.0	1.0	0.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
o4-mini	43.6	2	3	5	0.6	0.4	0.6	0.24	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-5	71.6	4	0	4	0.0	1.0	0.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4.1-nano	6.3	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
gpt-4.1	8.3	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
gpt-4.1-mini	9.1	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
