Package,Date,LatestVersion,Score,PyTyped,Pyright,Mypy,Samples,Verifytypes,SDKTeamOwned,Active
azure-search-documents,2023-01-12T09:23:15.920243Z,11.4.0b2,0.6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
azure-security-attestation,2023-01-12T09:23:15.920243Z,1.0.0,14.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-servicebus,2023-01-12T09:23:15.920243Z,7.9.0a1,20.2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-storage-blob,2023-01-12T09:23:15.920243Z,12.14.1,1.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-storage-blob-changefeed,2023-01-12T09:23:15.920243Z,12.0.0b4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-storage-file-datalake,2023-01-12T09:23:15.920243Z,12.9.1,3.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-storage-file-share,2023-01-12T09:23:15.920243Z,12.10.1,2.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-storage-queue,2023-01-12T09:23:15.920243Z,12.5.0,4.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-accesscontrol,2023-01-12T09:23:15.920243Z,0.7.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-artifacts,2023-01-12T09:23:15.920243Z,0.15.0,14.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-managedprivateendpoints,2023-01-12T09:23:15.920243Z,0.4.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-monitoring,2023-01-12T09:23:15.920243Z,0.2.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-spark,2023-01-12T09:23:15.920243Z,0.7.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-agrifood-farming,2023-02-27T04:06:22.739463Z,1.0.0b2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-ai-anomalydetector,2023-02-27T04:06:22.739463Z,3.0.0b6,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-ai-formrecognizer,2023-02-27T04:06:22.739463Z,3.2.0,20.6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
azure-ai-language-conversations,2023-02-27T04:06:22.739463Z,1.1.0b3,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-ai-language-questionanswering,2023-02-27T04:06:22.739463Z,1.1.0,82.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-ai-metricsadvisor,2023-02-27T04:06:22.739463Z,1.0.0,25.8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
azure-ai-ml,2023-02-27T04:06:22.739463Z,1.4.0,28.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-ai-personalizer,2023-02-27T04:06:22.739463Z,1.0.0b1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
azure-ai-textanalytics,2023-02-27T04:06:22.739463Z,5.3.0b1,76,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-ai-translation-document,2023-02-27T04:06:22.739463Z,1.0.0,71.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-appconfiguration,2023-02-27T04:06:22.739463Z,1.4.0,26.7,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
azure-appconfiguration-provider,2023-02-27T04:06:22.739463Z,1.0.0b2,16.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-batch,2023-02-27T04:06:22.739463Z,13.0.0,16.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-chat,2023-02-27T04:06:22.739463Z,1.1.0,7.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-email,2023-02-27T04:06:22.739463Z,1.0.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-identity,2023-02-27T04:06:22.739463Z,1.3.1,21.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-networktraversal,2023-02-27T04:06:22.739463Z,1.1.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-phonenumbers,2023-02-27T04:06:22.739463Z,1.1.0b3,73.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-rooms,2023-02-27T04:06:22.739463Z,1.0.0b2,37.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-sms,2023-02-27T04:06:22.739463Z,1.0.1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-confidentialledger,2023-02-27T04:06:22.739463Z,1.0.0,16.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-containerregistry,2023-02-27T04:06:22.739463Z,1.1.0b1,44.4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-core,2023-02-27T04:06:22.739463Z,1.26.3,39.6,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
azure-core-experimental,2023-02-27T04:06:22.739463Z,1.0.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-core-tracing-opencensus,2023-02-27T04:06:22.739463Z,1.0.0b8,77.3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-core-tracing-opentelemetry,2023-02-27T04:06:22.739463Z,1.0.0b9,77.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-cosmos,2023-02-27T04:06:22.739463Z,4.3.1,78.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-data-tables,2023-02-27T04:06:22.739463Z,12.4.2,29.2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
azure-developer-devcenter,2023-02-27T04:06:22.739463Z,1.0.0b2,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
azure-developer-loadtesting,2023-02-27T04:06:22.739463Z,1.0.0b3,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-digitaltwins-core,2023-02-27T04:06:22.739463Z,1.2.0,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-eventgrid,2023-02-27T04:06:22.739463Z,4.9.1,60,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-eventhub,2023-02-27T04:06:22.739463Z,5.11.1,22.2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-eventhub-checkpointstoreblob,2023-02-27T04:06:22.739463Z,1.1.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-eventhub-checkpointstoreblob-aio,2023-02-27T04:06:22.739463Z,1.1.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-identity,2023-02-27T04:06:22.739463Z,1.13.0b2,12.8,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
azure-iot-deviceupdate,2023-02-27T04:06:22.739463Z,1.0.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-iot-modelsrepository,2023-02-27T04:06:22.739463Z,1.0.0b1,66.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-keyvault-administration,2023-02-27T04:06:22.739463Z,4.3.0b1,25,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-keyvault-certificates,2023-02-27T04:06:22.739463Z,4.6.0,61.9,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-keyvault-keys,2023-02-27T04:06:22.739463Z,4.8.0b2,61.8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-keyvault-secrets,2023-02-27T04:06:22.739463Z,4.6.0,28.6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-maps-geolocation,2023-02-27T04:06:22.739463Z,1.0.0b1,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-maps-render,2023-02-27T04:06:22.739463Z,1.0.0b1,52.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-maps-route,2023-02-27T04:06:22.739463Z,1.0.0b1,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-maps-search,2023-02-27T04:06:22.739463Z,1.0.0b2,16.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-messaging-webpubsubservice,2023-02-27T04:06:22.739463Z,1.1.0b1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-mgmt-core,2023-02-27T04:06:22.739463Z,1.3.2,13.9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-mixedreality-authentication,2023-02-27T04:06:22.739463Z,1.0.0b1,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-mixedreality-remoterendering,2023-02-27T04:06:22.739463Z,1.0.0b1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
azure-monitor-ingestion,2023-02-27T04:06:22.739463Z,1.0.0,33.3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
azure-monitor-opentelemetry-exporter,2023-02-27T04:06:22.739463Z,1.0.0b12,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-monitor-query,2023-02-27T04:06:22.739463Z,1.1.1,86.4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
azure-purview-administration,2023-02-27T04:06:22.739463Z,1.0.0b1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-purview-catalog,2023-02-27T04:06:22.739463Z,1.0.0b4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-purview-scanning,2023-02-27T04:06:22.739463Z,1.0.0b2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-schemaregistry,2023-02-27T04:06:22.739463Z,1.3.0b1,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-schemaregistry-avroencoder,2023-02-27T04:06:22.739463Z,1.0.0,66.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-search-documents,2023-02-27T04:06:22.739463Z,11.4.0b3,22.7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
azure-security-attestation,2023-02-27T04:06:22.739463Z,1.0.0,14.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-servicebus,2023-02-27T04:06:22.739463Z,7.9.0a1,25,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-storage-blob,2023-02-27T04:06:22.739463Z,12.15.0,18.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-storage-blob-changefeed,2023-02-27T04:06:22.739463Z,12.0.0b4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-storage-file-datalake,2023-02-27T04:06:22.739463Z,12.10.0,10.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-storage-file-share,2023-02-27T04:06:22.739463Z,12.11.0,13.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-storage-queue,2023-02-27T04:06:22.739463Z,12.6.0,8.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-accesscontrol,2023-02-27T04:06:22.739463Z,0.7.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-artifacts,2023-02-27T04:06:22.739463Z,0.15.0,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-managedprivateendpoints,2023-02-27T04:06:22.739463Z,0.4.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-monitoring,2023-02-27T04:06:22.739463Z,0.2.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-synapse-spark,2023-02-27T04:06:22.739463Z,0.7.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-agrifood-farming,2023-03-15T20:37:35.564193Z,1.0.0a20230314001,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-ai-anomalydetector,2023-03-15T20:37:35.564193Z,3.0.0a20230314001,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-ai-formrecognizer,2023-03-15T20:37:35.564193Z,3.2.2a20230314004,20.6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
azure-ai-language-conversations,2023-03-15T20:37:35.564193Z,1.1.0a20230315001,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-ai-language-questionanswering,2023-03-15T20:37:35.564193Z,1.1.1a20230315001,82.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-ai-metricsadvisor,2023-03-15T20:37:35.564193Z,1.1.0a20230315001,25.8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
azure-ai-ml,2023-03-15T20:37:35.564193Z,1.6.0a20230315001,28.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-ai-personalizer,2023-03-15T20:37:35.564193Z,1.0.0a20230315001,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
azure-ai-textanalytics,2023-03-15T20:37:35.564193Z,5.3.0a20230314002,76,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-ai-translation-document,2023-03-15T20:37:35.564193Z,1.0.1a20230315001,71.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-appconfiguration,2023-03-15T20:37:35.564193Z,1.4.1a20230314004,26.7,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
azure-appconfiguration-provider,2023-03-15T20:37:35.564193Z,1.0.1a20230314004,16.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-batch,2023-03-15T20:37:35.564193Z,13.0.1a20230314001,16.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-chat,2023-03-15T20:37:35.564193Z,1.2.0a20230315001,7.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-email,2023-03-15T20:37:35.564193Z,1.0.0a20230315001,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-identity,2023-03-15T20:37:35.564193Z,1.3.2a20230315001,21.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-networktraversal,2023-03-15T20:37:35.564193Z,1.1.0a20230315001,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-phonenumbers,2023-03-15T20:37:35.564193Z,1.1.0a20230315001,73.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-rooms,2023-03-15T20:37:35.564193Z,1.0.0a20230315001,37.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-sms,2023-03-15T20:37:35.564193Z,1.1.0a20230315001,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-confidentialledger,2023-03-15T20:37:35.564193Z,1.1.0a20230314002,16.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-containerregistry,2023-03-15T20:37:35.564193Z,1.1.0a20230314005,44.4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-core,2023-03-15T20:37:35.564193Z,1.26.4a20230314006,39.8,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
azure-core-experimental,2023-03-15T20:37:35.564193Z,1.0.0a20230314006,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-core-tracing-opencensus,2023-03-15T20:37:35.564193Z,1.0.0a20230314006,77.3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-core-tracing-opentelemetry,2023-03-15T20:37:35.564193Z,1.0.0a20230314006,63.6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
azure-cosmos,2023-03-15T20:37:35.564193Z,4.3.2a20230314004,78.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-data-tables,2023-03-15T20:37:35.564193Z,12.4.3a20230315001,29.2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
azure-defender-easm,2023-03-15T20:37:35.564193Z,1.0.0a20230314001,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-developer-devcenter,2023-03-15T20:37:35.564193Z,1.0.0a20230315001,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
azure-developer-loadtesting,2023-03-15T20:37:35.564193Z,1.0.1a20230314001,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-digitaltwins-core,2023-03-15T20:37:35.564193Z,1.2.1a20230315001,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-eventgrid,2023-03-15T20:37:35.564193Z,4.10.0a20230315001,60,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-eventhub,2023-03-15T20:37:35.564193Z,5.11.2a20230315001,22.2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-eventhub-checkpointstoreblob,2023-03-15T20:37:35.564193Z,1.2.0a20230315001,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-eventhub-checkpointstoreblob-aio,2023-03-15T20:37:35.564193Z,1.2.0a20230315001,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-identity,2023-03-15T20:37:35.564193Z,1.13.0a20230315001,12.8,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
azure-iot-deviceupdate,2023-03-15T20:37:35.564193Z,1.0.1a20230315001,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-iot-modelsrepository,2023-03-15T20:37:35.564193Z,1.0.0a20230314001,66.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-keyvault-administration,2023-03-15T20:37:35.564193Z,4.3.0a20230315001,25,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-keyvault-certificates,2023-03-15T20:37:35.564193Z,4.7.0a20230315001,61.9,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-keyvault-keys,2023-03-15T20:37:35.564193Z,4.8.0a20230315001,61.8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
